NAME	SMILES
Abiraterone	CC12CCC3C(CC=C4CC(O)CCC43C)C1CC=C2c1cccnc1
Acarbose	CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O
Acenocoumarol	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(=O)oc2ccccc2c1O
Acetrizoic acid	CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I
Acetyldigitoxin	CC(=O)OC1CC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)CC3O)CC2O)OC(C)C1O
Acitretin	COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C
Adapalene	COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
Adefovir Dipivoxil	CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c1ncnc2N)OCOC(=O)C(C)(C)C
Adenosine monophosphate	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
Adenosine triphosphate	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
Adinazolam	CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
Afamelanotide	CCCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(N)=O)C(C)C
Afatinib	CN(C)CC=CC(=O)Nc1cc2c(cc1OC1CCOC1)ncnc2Nc1ccc(F)c(Cl)c1
Alendronic acid	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
Alfacalcidol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O
Alimemazine	CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
Aliskiren	COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
Alitretinoin	CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
Allylestrenol	C=CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C
