NAME	TYPE	SMILES
POLYBUTENE_(1400_MW)	IIG	C/C=C/C.C=CCC
Sorbic_acid	GRAS	C/C=C/C=C/C(=O)O
Calcium_sorbate	GRAS	C/C=C/C=C/C(=O)[O-].C/C=C/C=C/C(=O)[O-].[Ca+2]
Potassium_sorbate	GRAS	C/C=C/C=C/C(=O)[O-].[K+]
Sodium_sorbate	GRAS	C/C=C/C=C/C(=O)[O-].[Na+]
ANETHOLE	IIG	C/C=C/c1ccc(OC)cc1
PROPENYL_GUAETHOL	IIG	C/C=C/c1ccc(OCC)c(O)c1
PIPERAZINE	IIG	C1CNCCN1
PIPERAZINE_HEXAHYDRATE	IIG	C1CNCCN1.O.O.O.O.O.O
TYLOXAPOL	IIG	C1CO1.C=O.CC(C)(C)CC(C)(C)c1ccc(O)cc1
POLOXAMER_407	IIG	C1CO1.CC1CO1
HIGH_DENSITY_POLYETHYLENE	IIG	C=C
POLYISOBUTYLENE_MEDIUM_MOLECULAR_WEIGHT	IIG	C=C(C)C
METHACRYLIC_ACID_-_METHYL_METHACRYLATE_COPOLYMER_(1:2)	IIG	C=C(C)C(=O)O.C=C(C)C(=O)OC
POLY(METHYL_ACRYLATE-CO-METHYL_METHACRYLATE-CO-METHACRYLIC_ACID_7:3:1;_280000_MW)	IIG	C=C(C)C(=O)O.C=C(C)C(=O)OC.C=CC(=O)OC
METHACRYLIC_ACID_-_ETHYL_ACRYLATE_COPOLYMER_(1:1)_TYPE_A	IIG	C=C(C)C(=O)O.C=CC(=O)OCC
DIMETHYLAMINOETHYL_METHACRYLATE_-_BUTYL_METHACRYLATE_-_METHYL_METHACRYLATE_COPOLYMER	IIG	C=C(C)C(=O)OC.C=C(C)C(=O)OCCCC.C=C(C)C(=O)OCCN(C)C
AMMONIO_METHACRYLATE_COPOLYMER_TYPE_B	IIG	C=C(C)C(=O)OC.C=C(C)C(=O)OCC[N+](C)(C)C.C=CC(=O)OCC.[Cl-]
METHYL_ACRYLATE_-_METHYL_METHACRYLATE	IIG	C=C(C)C(=O)OC.C=CC(=O)OC
ETHYL_ACRYLATE_AND_METHYL_METHACRYLATE_COPOLYMER_(2:1;_750000_MW)	IIG	C=C(C)C(=O)OC.C=CC(=O)OCC
POLYHYDROXYETHYL_METHACRYLATE	IIG	C=C(C)C(=O)OCCO
POLACRILIN_POTASSIUM	IIG	C=C(C)C(=O)[O-].C=Cc1ccccc1C=C.[K+]
LIMONENE,_(+/-)-	IIG	C=C(C)C1CC=C(C)CC1
CARVONE,_(-)-	IIG	C=C(C)[C@@H]1CC=C(C)C(=O)C1
