DRUG	EXCIPIENT	CLASS	SIZE_REDUCTION	RADIUS
Sorafenib	caffeine	0	nan	nan
Sorafenib	succinic_acid	0	nan	nan
Sorafenib	octyl_gallate	0	nan	nan
Sorafenib	DL-malic_acid	0	nan	nan
Sorafenib	adipic_acid	0	nan	nan
Sorafenib	Triazabicyclodecene	0	nan	nan
Sorafenib	DBU	0	nan	nan
Sorafenib	L-asparagine	0	nan	nan
Sorafenib	theobromine	0	nan	nan
Sorafenib	3,3'-thiodipropionic_acid	0	nan	nan
Sorafenib	theophylline	0	nan	nan
Sorafenib	borneol	0	nan	nan
Sorafenib	cinnamaldehyde	0	nan	nan
Sorafenib	aspartame	0	nan	nan
Sorafenib	squalene	0	nan	nan
Sorafenib	benzaldehyde	0	nan	nan
Sorafenib	sodium_deoxycholate	1	0.466471298	67.65
Sorafenib	cholic_acid	1	0.481985865	69.9
Sorafenib	glycocholic_acid	1	0.447853818	64.95
Sorafenib	sucrose_octaacetate	0	nan	nan
Sorafenib	trans_anethole	0	nan	nan
Sorafenib	indomethacin	1	0.426822962	61.9
Sorafenib	terpinyl_butyrate	0	nan	nan
Sorafenib	hydrocortisone	0	nan	nan
Sorafenib	candesartan_cilexetil	1	0.420617135	61
Sorafenib	neohesperidin_DC	0	nan	nan
Sorafenib	ursodiol	0	nan	nan
Sorafenib	diclofenac	0	nan	nan
Sorafenib	eucalyptol	0	nan	nan
Sorafenib	beta_carotene	0	nan	nan
Sorafenib	menthol	0	nan	nan
Sorafenib	alpha-terpineol	0	nan	nan
Sorafenib	fenchyl_alcohol	0	nan	nan
Sorafenib	biotin	0	nan	nan
Sorafenib	xylitol	0	nan	nan
Sorafenib	trans-cinnamic_acid	0	nan	nan
Sorafenib	thimerosal	0	nan	nan
Sorafenib	tyramine	0	nan	nan
Sorafenib	fumaric_acid	0	nan	nan
Sorafenib	congo_red	1	0.175831753	25.5
Sorafenib	vanillin	0	nan	nan
Sorafenib	saccharin	0	nan	nan
Sorafenib	allantoin	0	nan	nan
Sorafenib	vitamin_A_palmitate	0	nan	nan
Sorafenib	acetylcholine_chloride	0	nan	nan
Sorafenib	dibutyl_phthalate	0	nan	nan
Sorafenib	trometamol	0	nan	nan
Sorafenib	benzoyl_peroxide	0	nan	nan
Sorafenib	triethyl_citrate	0	nan	nan
Sorafenib	triacetin	0	nan	nan
Sorafenib	glycerol	1	0.497845199	72.2
Sorafenib	propylene_glycol	0	nan	nan
Sorafenib	mebendazole	0	nan	nan
Sorafenib	L-proline	0	nan	nan
Sorafenib	L-lysine	0	nan	nan
Sorafenib	L-ascorbic_acid	0	nan	nan
Sorafenib	stearic_acid	0	nan	nan
Sorafenib	(R)-(+)-Limonene	0	nan	nan
Sorafenib	meglumine	0	nan	nan
Sorafenib	hydrochlorothiazide	0	nan	nan
Sorafenib	ketoprofen	0	nan	nan
Sorafenib	memantine_hydrochloride	0	nan	nan
Sorafenib	naproxen_sodium	0	nan	nan
Sorafenib	mannitol	0	nan	nan
Sorafenib	D-sorbitol	0	nan	nan
Sorafenib	tannic_acid	1	0.445095673	64.55
Sorafenib	rhodamine_B	0	nan	nan
Sorafenib	moxifloxacin	0	nan	nan
Sorafenib	ciprofloxacin	0	nan	nan
Sorafenib	certirizine	0	nan	nan
Sorafenib	budesonide	0	nan	nan
Sorafenib	etidronic_acid	0	nan	nan
Sorafenib	emtricitabine	0	nan	nan
Sorafenib	metoprolol(+)-tartrate	0	nan	nan
Sorafenib	phenytoin	0	nan	nan
Sorafenib	propranolol_hydrochloride	0	nan	nan
Sorafenib	captan	0	nan	nan
Sorafenib	neotame	0	nan	nan
Sorafenib	alendronate_sodium	0	nan	nan
Sorafenib	piroxicam	0	nan	nan
Sorafenib	desipramine_hydrochloride	0	nan	nan
Sorafenib	nadolol	0	nan	nan
Sorafenib	omeprazole	0	nan	nan
Sorafenib	labetalol_hydrochloride	0	nan	nan
Sorafenib	prednisone	0	nan	nan
Sorafenib	risperidone	0	nan	nan
Sorafenib	fluconazole	0	nan	nan
Sorafenib	methotrexate_hydrate	0	nan	nan
Sorafenib	tenofovir_alafenamide	0	nan	nan
Sorafenib	carbamazepine	0	nan	nan
Lumefantrine	caffeine	0	nan	nan
Lumefantrine	succinic_acid	0	nan	nan
Lumefantrine	octyl_gallate	0	nan	nan
Lumefantrine	DL-malic_acid	0	nan	nan
Lumefantrine	adipic_acid	0	nan	nan
Lumefantrine	Triazabicyclodecene	0	nan	nan
Lumefantrine	DBU	0	nan	nan
Lumefantrine	L-asparagine	0	nan	nan
Lumefantrine	theobromine	0	nan	nan
Lumefantrine	3,3'-thiodipropionic_acid	0	nan	nan
Lumefantrine	theophylline	0	nan	nan
Lumefantrine	borneol	0	nan	nan
Lumefantrine	cinnamaldehyde	0	nan	nan
Lumefantrine	aspartame	0	nan	nan
Lumefantrine	squalene	0	nan	nan
Lumefantrine	benzaldehyde	0	nan	nan
Lumefantrine	sodium_deoxycholate	1	0.336430834	79.65
Lumefantrine	cholic_acid	0	nan	nan
Lumefantrine	glycocholic_acid	1	0.340654699	80.65
Lumefantrine	sucrose_octaacetate	0	nan	nan
Lumefantrine	trans_anethole	1	0.392608237	92.95
Lumefantrine	indomethacin	1	0.466737064	110.5
Lumefantrine	terpinyl_butyrate	0	nan	nan
Lumefantrine	hydrocortisone	0	nan	nan
Lumefantrine	candesartan_cilexetil	1	0.194297783	46
Lumefantrine	neohesperidin_DC	0	nan	nan
Lumefantrine	ursodiol	0	nan	nan
Lumefantrine	diclofenac	0	nan	nan
Lumefantrine	eucalyptol	0	nan	nan
Lumefantrine	beta_carotene	0	nan	nan
Lumefantrine	menthol	0	nan	nan
Lumefantrine	alpha-terpineol	0	nan	nan
Lumefantrine	fenchyl_alcohol	0	nan	nan
Lumefantrine	biotin	0	nan	nan
Lumefantrine	xylitol	0	nan	nan
Lumefantrine	trans-cinnamic_acid	0	nan	nan
Lumefantrine	thimerosal	0	nan	nan
Lumefantrine	tyramine	0	nan	nan
Lumefantrine	fumaric_acid	0	nan	nan
Lumefantrine	congo_red	1	0.149947202	35.5
Lumefantrine	vanillin	0	nan	nan
Lumefantrine	saccharin	0	nan	nan
Lumefantrine	allantoin	0	nan	nan
Lumefantrine	vitamin_A_palmitate	1	0.479408659	113.5
Lumefantrine	acetylcholine_chloride	0	nan	nan
Lumefantrine	dibutyl_phthalate	0	nan	nan
Lumefantrine	trometamol	0	nan	nan
Lumefantrine	benzoyl_peroxide	0	nan	nan
Lumefantrine	triethyl_citrate	0	nan	nan
Lumefantrine	triacetin	0	nan	nan
Lumefantrine	glycerol	0	nan	nan
Lumefantrine	propylene_glycol	0	nan	nan
Lumefantrine	mebendazole	0	nan	nan
Lumefantrine	L-proline	0	nan	nan
Lumefantrine	L-lysine	0	nan	nan
Lumefantrine	L-ascorbic_acid	0	nan	nan
Lumefantrine	stearic_acid	0	nan	nan
Lumefantrine	(R)-(+)-Limonene	0	nan	nan
Lumefantrine	meglumine	0	nan	nan
Lumefantrine	hydrochlorothiazide	0	nan	nan
Lumefantrine	ketoprofen	0	nan	nan
Lumefantrine	memantine_hydrochloride	0	nan	nan
Lumefantrine	naproxen_sodium	0	nan	nan
Lumefantrine	mannitol	0	nan	nan
Lumefantrine	D-sorbitol	0	nan	nan
Lumefantrine	tannic_acid	0	nan	nan
Lumefantrine	rhodamine_B	0	nan	nan
Lumefantrine	moxifloxacin	0	nan	nan
Lumefantrine	ciprofloxacin	0	nan	nan
Lumefantrine	certirizine	0	nan	nan
Lumefantrine	budesonide	0	nan	nan
Lumefantrine	etidronic_acid	0	nan	nan
Lumefantrine	emtricitabine	0	nan	nan
Lumefantrine	metoprolol(+)-tartrate	0	nan	nan
Lumefantrine	phenytoin	0	nan	nan
Lumefantrine	propranolol_hydrochloride	0	nan	nan
Lumefantrine	captan	0	nan	nan
Lumefantrine	neotame	0	nan	nan
Lumefantrine	alendronate_sodium	0	nan	nan
Lumefantrine	piroxicam	0	nan	nan
Lumefantrine	desipramine_hydrochloride	0	nan	nan
Lumefantrine	nadolol	0	nan	nan
Lumefantrine	omeprazole	0	nan	nan
Lumefantrine	labetalol_hydrochloride	0	nan	nan
Lumefantrine	prednisone	0	nan	nan
Lumefantrine	risperidone	0	nan	nan
Lumefantrine	fluconazole	0	nan	nan
Lumefantrine	methotrexate_hydrate	0	nan	nan
Lumefantrine	tenofovir_alafenamide	0	nan	nan
Lumefantrine	carbamazepine	0	nan	nan
Atovaquone	caffeine	0	nan	nan
Atovaquone	succinic_acid	0	nan	nan
Atovaquone	octyl_gallate	1	0.095144172	50.65
Atovaquone	DL-malic_acid	0	nan	nan
Atovaquone	adipic_acid	0	nan	nan
Atovaquone	Triazabicyclodecene	0	nan	nan
Atovaquone	DBU	0	nan	nan
Atovaquone	L-asparagine	0	nan	nan
Atovaquone	theobromine	0	nan	nan
Atovaquone	3,3'-thiodipropionic_acid	0	nan	nan
Atovaquone	theophylline	0	nan	nan
Atovaquone	borneol	0	nan	nan
Atovaquone	cinnamaldehyde	0	nan	nan
Atovaquone	aspartame	0	nan	nan
Atovaquone	squalene	0	nan	nan
Atovaquone	benzaldehyde	0	nan	nan
Atovaquone	sodium_deoxycholate	0	nan	nan
Atovaquone	cholic_acid	0	nan	nan
Atovaquone	glycocholic_acid	0	nan	nan
Atovaquone	sucrose_octaacetate	1	0.108575186	57.8
Atovaquone	trans_anethole	0	nan	nan
Atovaquone	indomethacin	0	nan	nan
Atovaquone	terpinyl_butyrate	1	0.245609092	130.75
Atovaquone	hydrocortisone	0	nan	nan
Atovaquone	candesartan_cilexetil	0	nan	nan
Atovaquone	neohesperidin_DC	0	nan	nan
