NAME	SMILES
caffeine	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
succinic_acid	C(CC(=O)O)C(=O)O
octyl_gallate	CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
DL-malic_acid	C(C(C(=O)O)O)C(=O)O
adipic_acid	C(CCC(=O)O)CC(=O)O
Triazabicyclodecene	C1CNC2=NCCCN2C1
DBU	C1CCC2=NCCCN2CC1
L-asparagine	C([C@@H](C(=O)O)N)C(=O)N
theobromine	CN1C=NC2=C1C(=O)NC(=O)N2C
3,3'-thiodipropionic_acid	C(CSCCC(=O)O)C(=O)O
theophylline	CN1C2=C(C(=O)N(C1=O)C)NC=N2
borneol	C[C@]12CC[C@H](C1(C)C)C[C@H]2O
cinnamaldehyde	C1=CC=C(C=C1)/C=C/C=O
aspartame	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N
squalene	CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C
benzaldehyde	C1=CC=C(C=C1)C=O
sodium_deoxycholate	C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+]
cholic_acid	C[C@@H]([C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@H]3[C@H]2[C@H](O)C[C@H]4[C@]3(C)CC[C@@H](O)C4)CCC(O)=O
glycocholic_acid	C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
sucrose_octaacetate	CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C
trans_anethole	C/C=C/C1=CC=C(C=C1)OC
indomethacin	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
terpinyl_butyrate	CCCC(=O)OC(C)(C)[C@@H]1CCC(=CC1)C
hydrocortisone	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
candesartan_cilexetil	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
neohesperidin_DC	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O
ursodiol	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
diclofenac	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
eucalyptol	CC1(C2CCC(O1)(CC2)C)C
beta_carotene	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C
menthol	CC1CCC(C(C1)O)C(C)C
alpha-terpineol	CC1=CCC(CC1)C(C)(C)O
fenchyl_alcohol	CC1(C2CCC(C2)(C1O)C)C
biotin	C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
xylitol	C([C@H](C([C@H](CO)O)O)O)O
trans-cinnamic_acid	C1=CC=C(C=C1)/C=C/C(=O)O
thimerosal	CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+]
tyramine	C1=CC(=CC=C1CCN)O
fumaric_acid	C(=C/C(=O)O)\C(=O)O
congo_red	C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
vanillin	COC1=C(C=CC(=C1)C=O)O
saccharin	C1=CC=C2C(=C1)C(=O)NS2(=O)=O
allantoin	C1(C(=O)NC(=O)N1)NC(=O)N
vitamin_A_palmitate	CCCCCCCCCCCCCCCC(=O)OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(CCCC1(C)C)C
acetylcholine_chloride	CC(=O)OCC[N+](C)(C)C.[Cl-]
dibutyl_phthalate	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
trometamol	C(C(CO)(CO)N)O
benzoyl_peroxide	C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
triethyl_citrate	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O
triacetin	CC(=O)OCC(COC(=O)C)OC(=O)C
glycerol	C(C(CO)O)O
propylene_glycol	CC(CO)O
mebendazole	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
L-proline	C1C[C@H](NC1)C(=O)O
L-lysine	C(CCN)C[C@@H](C(=O)O)N
L-ascorbic_acid	C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
stearic_acid	CCCCCCCCCCCCCCCCCC(=O)O
(R)-(+)-Limonene	CC1=CC[C@@H](CC1)C(=C)C
meglumine	CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
hydrochlorothiazide	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
ketoprofen	CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
memantine_hydrochloride	CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl
naproxen_sodium	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]
mannitol	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
D-sorbitol	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
tannic_acid	C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
rhodamine_B	CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-]
moxifloxacin	[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
ciprofloxacin	OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
certirizine	OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
budesonide	[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
etidronic_acid	CC(O)(P(=O)(O)O)P(=O)(O)O.O
emtricitabine	C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
metoprolol(+)-tartrate	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O
phenytoin	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
propranolol_hydrochloride	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl
captan	C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl
neotame	CC(C)(C)CCN[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC
alendronate_sodium	C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.[Na+]
piroxicam	CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3
desipramine_hydrochloride	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
